# t1 t2 t3
0.0001335000 0.0009383000 0.0000064000
0.0002087000 0.0009930000 0.0000078000
0.0001397000 0.0010077000 0.0000066000
0.0002789000 0.0011288000 0.0000086000
0.0003525000 0.0010205000 0.0000068000
0.0001502000 0.0010912000 0.0000081000
0.0002914000 0.0010844000 0.0000070000
0.0001589000 0.0011560000 0.0000085000
0.0002504000 0.0010896000 0.0000069000
0.0002290000 0.0011301000 0.0000083000
0.0001739000 0.0011393000 0.0000072000
0.0002532000 0.0011775000 0.0000088000
0.0002325000 0.0011676000 0.0000072000
0.0001679000 0.0012169000 0.0000088000
0.0002754000 0.0012182000 0.0000078000
0.0003103000 0.0013962000 0.0000132000
0.0002762000 0.0013035000 0.0000106000
0.0002515000 0.0013027000 0.0000092000
0.0001872000 0.0014075000 0.0000086000
0.0002537000 0.0013418000 0.0000099000
0.0002551000 0.0013226000 0.0000079000
0.0002102000 0.0014217000 0.0000096000
0.0002662000 0.0014139000 0.0000083000
0.0002706000 0.0015330000 0.0000107000
0.0002153000 0.0018397000 0.0000113000
0.0002902000 0.0015875000 0.0000129000
0.0002921000 0.0016080000 0.0000127000
0.0002291000 0.0016503000 0.0000123000
0.0002946000 0.0016078000 0.0000100000
0.0003116000 0.0017196000 0.0000114000
0.0002385000 0.0016758000 0.0000095000
0.0003105000 0.0017436000 0.0000129000
0.0003207000 0.0017532000 0.0000107000
0.0002587000 0.0018034000 0.0000131000
0.0003230000 0.0018416000 0.0000116000
0.0003459000 0.0018465000 0.0000125000
0.0003369000 0.0018580000 0.0000109000
0.0002698000 0.0019619000 0.0000132000
0.0003463000 0.0019392000 0.0000121000
0.0003904000 0.0020455000 0.0000148000
0.0003581000 0.0019675000 0.0000122000
0.0002973000 0.0021037000 0.0000126000
0.0003909000 0.0020733000 0.0000106000
0.0004061000 0.0021467000 0.0000133000
0.0004067000 0.0021134000 0.0000103000
0.0003070000 0.0021581000 0.0000125000
0.0003692000 0.0021544000 0.0000110000
0.0003661000 0.0022475000 0.0000139000
0.0003717000 0.0021650000 0.0000106000
0.0003018000 0.0022883000 0.0000130000
0.0003985000 0.0023177000 0.0000116000
0.0003905000 0.0023430000 0.0000135000
0.0003758000 0.0023112000 0.0000107000
0.0003208000 0.0026186000 0.0000147000
0.0003919000 0.0022632000 0.0000106000
0.0003680000 0.0023067000 0.0000131000
0.0003714000 0.0022654000 0.0000103000
0.0003763000 0.0024194000 0.0000132000
0.0003150000 0.0023633000 0.0000111000
0.0004391000 0.0025994000 0.0000149000
0.0003935000 0.0024065000 0.0000109000
0.0003903000 0.0025174000 0.0000133000
0.0003938000 0.0025148000 0.0000113000
0.0003352000 0.0025789000 0.0000136000
0.0004003000 0.0028707000 0.0000119000
0.0004079000 0.0026525000 0.0000141000
0.0004115000 0.0026352000 0.0000118000
0.0004256000 0.0027638000 0.0000149000
0.0004337000 0.0027797000 0.0000116000
0.0003738000 0.0030664000 0.0000153000
0.0004766000 0.0029903000 0.0000127000
0.0004878000 0.0030955000 0.0000159000
0.0005096000 0.0030023000 0.0000232000
0.0004763000 0.0032630000 0.0000164000
0.0004757000 0.0031457000 0.0000134000
0.0004773000 0.0032769000 0.0000168000
0.0004826000 0.0032242000 0.0000132000
0.0004180000 0.0033411000 0.0000164000
0.0004892000 0.0033145000 0.0000137000
0.0005190000 0.0034774000 0.0000166000
0.0004704000 0.0031418000 0.0000131000
0.0004696000 0.0032792000 0.0000157000
0.0004744000 0.0032704000 0.0000147000
0.0005576000 0.0035288000 0.0000181000
0.0004901000 0.0033634000 0.0000144000
0.0005305000 0.0035156000 0.0000177000
0.0004457000 0.0036849000 0.0000153000
0.0005634000 0.0037616000 0.0000189000
0.0005815000 0.0037707000 0.0000164000
0.0005802000 0.0039196000 0.0000173000
0.0005203000 0.0037301000 0.0000145000
0.0005153000 0.0037001000 0.0000170000
0.0005138000 0.0037304000 0.0000284000
0.0005354000 0.0038319000 0.0000168000
0.0005212000 0.0038694000 0.0000148000
0.0005517000 0.0040528000 0.0000181000
0.0005571000 0.0041453000 0.0000161000
0.0005917000 0.0043680000 0.0000192000
0.0006088000 0.0043001000 0.0000169000
0.0006291000 0.0044537000 0.0000192000
0.0006102000 0.0044252000 0.0000154000
0.0005913000 0.0046141000 0.0000195000
0.0006089000 0.0041911000 0.0000151000
0.0005614000 0.0042659000 0.0000180000
0.0005802000 0.0043154000 0.0000149000
0.0007116000 0.0052731000 0.0000185000
0.0006306000 0.0043989000 0.0000159000
0.0006283000 0.0046437000 0.0000197000
0.0007061000 0.0046322000 0.0000151000
0.0005923000 0.0045757000 0.0000183000
0.0005923000 0.0047644000 0.0000165000
0.0006034000 0.0046526000 0.0000190000
0.0006006000 0.0046543000 0.0000157000
0.0006040000 0.0057915000 0.0000244000
0.0007238000 0.0052237000 0.0000184000
0.0006403000 0.0049916000 0.0000198000
